,PC1,PC2,PC3
0,11.984722,4.2145576,8.928919
1,11.875876,4.360066,8.251629
2,11.517043,3.435056,8.295345
3,11.964918,3.169991,8.686898
4,12.198036,4.471267,8.088492
5,12.377516,4.617461,8.151769
6,11.617984,3.7943501,8.468999
7,11.82643,3.4491034,8.639222
8,11.874988,3.3484335,8.650135
9,11.669852,3.5467484,8.5079155
10,11.907691,3.0897458,8.601077
11,12.192095,4.2430267,9.214634
12,11.981579,4.5254073,8.132419
13,11.9071865,4.4413533,8.0745945
14,11.890525,3.1552608,8.61874
15,11.908742,3.7904294,8.60171
16,11.593816,3.731568,8.50999
17,12.264878,4.4387846,8.312903
18,11.990277,4.4642673,8.093306
19,12.289133,4.4602866,8.228953
20,12.009088,4.3242154,9.058057
21,12.091081,4.3784633,9.138146
22,11.563575,3.596875,8.385062
23,11.889593,3.2017608,8.633155
24,12.25244,4.512925,8.122957
25,11.589855,3.4786992,8.356618
26,12.137896,4.383957,9.163729
27,12.135585,4.386939,9.174478
28,11.638784,3.5086312,8.514934
29,11.6887245,4.094288,8.594876
30,12.020683,4.329522,9.0408535
31,11.619265,4.0732226,8.210286
32,11.717529,3.5849729,8.415486
33,12.006626,4.4191494,8.015206
34,12.050699,4.3622413,9.05069
35,11.979393,4.282506,9.002663
36,11.6002865,3.974595,8.165948
37,12.324846,4.5572014,8.084068
38,11.625215,3.4655461,8.514232
39,11.678726,3.8659787,8.229773
40,11.931159,3.4423063,8.695475
41,12.02496,4.2687874,9.051195
42,11.644585,3.3865008,8.423285
43,11.863351,4.3997545,8.180313
44,11.639309,4.025105,8.220319
45,11.898947,4.3837237,8.061751
46,11.917455,4.4874563,8.06657
47,0.9771993,0.40202832,0.6771999
48,1.0578736,0.7672617,1.5116764
49,4.961333,6.0697784,5.1721315
50,11.666403,3.4462996,8.517876
51,3.236522,3.974406,5.71329
52,3.1600163,3.9901855,5.7298937
53,5.0003676,5.977088,5.2619367
54,1.8419005,7.256478,4.0721607
55,4.3510056,6.1559763,3.1737535
56,4.42694,6.074876,2.9779756
57,1.7644656,7.2053576,4.02703
58,1.9227613,7.3519444,4.1597342
59,1.9398041,6.7903776,4.057138
60,1.7723072,7.140055,4.040998
61,4.267082,5.9394207,2.9821475
62,1.7349037,7.138549,4.0121007
63,4.283374,6.7371135,5.3756123
64,4.153832,6.3996277,3.1986032
65,3.1673584,4.0067673,5.6969547
66,4.1710105,5.859184,3.0510116
67,1.6183988,7.1587944,3.8774922
68,3.2092516,3.9955995,5.7236958
69,1.7297263,7.1260314,3.9697711
70,4.166744,5.821221,2.944206
71,1.6930175,7.165305,3.9560127
72,4.3460684,6.0582724,3.108408
73,4.323463,5.9843125,3.1249626
74,4.3113785,6.0163527,3.049331
75,4.9144893,5.946022,5.2170963
76,4.179833,6.468088,3.2451692
77,4.4549756,6.116811,3.0918615
78,1.6781744,7.195519,4.061262
79,3.1415968,3.934819,5.7844367
80,2.631459,7.5427194,4.870438
81,4.447548,6.0934334,3.0054126
82,4.1687145,6.398241,3.2158887
83,3.9386113,5.71642,3.207672
84,1.9829195,6.7113667,3.9781792
85,4.4254575,6.064443,3.0009096
86,4.2993274,6.013251,3.0427446
87,3.1247146,4.123021,5.530191
88,0.56868047,0.6711618,0.88225466
89,-0.6891121,1.0014216,1.1212723
90,1.2800484,0.8667089,1.005319
91,2.9027708,4.977754,4.2548
92,4.0927944,8.545278,5.730468
93,3.7544181,7.3655996,5.528099
94,2.1769416,5.7592235,5.7390437
95,4.3154697,8.401772,5.2856836
96,3.31002,7.0896163,5.626697
97,4.588303,7.947508,4.4524198
98,4.0922112,6.449649,5.984336
99,4.502086,7.835387,4.4608088
100,3.5098665,6.618468,5.5432086
101,3.0508494,6.995752,5.6341925
102,4.490949,7.8234115,4.4618516
103,4.0925665,8.471074,5.8256955
104,4.130101,8.28636,4.4819436
105,3.7698987,8.560684,5.6521997
106,5.213502,6.0720353,5.6876125
107,2.1870234,6.4338202,5.8797255
108,2.7283313,4.030783,6.2927547
109,4.0213823,8.068947,6.040482
110,4.056948,8.535467,4.501255
111,3.9939408,8.615334,5.751457
112,2.0563557,6.7106853,6.166808
