,PC1,PC2,PC3
0,-30.438818,1.6472473,5.705153
1,-39.663406,12.511993,-3.9549577
2,-37.012142,4.73989,-6.2701755
3,-37.990833,-4.223512,-11.409622
4,-34.71391,14.441404,9.382527
5,-28.186136,12.229406,14.019101
6,-45.541218,6.4141107,-10.221786
7,-38.80783,-3.1057773,-2.7646422
8,-40.563297,0.010392797,-7.835773
9,-34.53822,-1.4205585,-7.2891426
10,-42.222145,-5.690486,-6.621019
11,-39.012352,-5.5761256,4.737457
12,-40.947453,9.09339,6.3007874
13,-46.630283,7.840478,3.0228202
14,-44.676567,-3.0037472,-12.647298
15,-29.088976,2.851857,-0.6868731
16,-40.683056,8.389671,-10.049541
17,-30.324919,7.7929463,4.0903554
18,-40.58137,8.326506,1.1876242
19,-29.94333,11.104521,8.634589
20,-39.018158,-3.4790757,9.288007
21,-34.69237,-3.1353583,5.8376493
22,-35.217148,1.4575539,-2.1705625
23,-36.73283,-7.211117,-6.4464316
24,-35.485306,10.769408,10.891489
25,-36.235992,2.2683394,-11.709005
26,-35.5424,-8.922187,12.635688
27,-32.99871,-4.977523,11.704563
28,-33.15168,-4.02845,-2.3465202
29,-45.981033,11.609556,-6.497471
30,-36.230976,0.7043545,9.070593
31,-49.207558,7.203106,-1.9943573
32,-40.67968,2.2671745,-2.6304321
33,-36.860744,7.027897,4.5486016
34,-33.826244,-2.5719573,15.808753
35,-43.348885,0.5399217,9.402102
36,-49.60026,1.6833676,-1.856439
37,-33.60329,13.915436,14.812664
38,-34.53822,-1.4205585,-7.2891426
39,-44.82051,-2.0092938,1.193222
40,-40.563297,0.010392797,-7.835773
41,-38.942474,-0.31839836,4.946326
42,-31.776295,3.7202404,-7.3259277
43,-35.674206,9.634573,0.35322428
44,-49.907223,2.7802255,2.0507045
45,-38.30652,12.526072,3.377399
46,-44.581303,14.557371,3.863219
47,17.851797,4.73974,7.3633394
48,28.134619,13.539911,-9.101634
49,-11.96715,-18.998663,10.110718
50,-29.719795,-5.35338,-12.186683
51,-2.1973543,-24.243011,14.359532
52,-2.9065452,-20.003593,10.5841255
53,-9.620945,-13.870926,10.8799095
54,-20.107271,-13.758205,8.271808
55,-11.420885,-9.099865,-7.236966
56,-19.64759,1.2659318,-20.844276
57,-21.683378,-9.205348,6.566663
58,-20.839258,-3.7893493,3.2366066
59,-12.475877,-12.7574005,-0.9989608
60,-17.915968,-5.8196507,10.029184
61,-22.055302,-8.528813,-14.01953
62,-22.987534,-13.209697,3.444327
63,-6.4327583,-10.386902,0.89442396
64,-22.25954,-3.3209887,-6.8534656
65,-1.5083898,-15.892121,11.77645
66,-18.064081,-12.066483,-13.852057
67,-18.824337,-9.663483,1.842319
68,-3.664083,-17.789906,16.82637
69,-17.87416,-14.950678,3.519036
70,-18.044127,-8.448909,-17.800714
